company_id,company_name,category,license_status,year_established,headquarters,website,phone,email,contact_person,branches_count,market_share_percent,financial_rating,claims_settlement_rating,regulatory_compliance,ira_license_number
IRA016,Liberty Life Assurance Kenya Limited,Life,Active,1964,Nairobi,www.liberty.co.ke,+254 20 2859000,info@liberty.co.ke,John Mwangi,15,3.5,A,Excellent,Compliant,IRA/01/017
IRA017,Metropolitan Life Insurance Kenya,Life,Active,2015,Nairobi,www.metropolitan.co.ke,+254 20 2719000,info@metropolitan.co.ke,John Mwangi,8,1.8,B+,Good,Compliant,IRA/01/018
IRA018,Old Mutual Life Assurance Company Limited,Life,Active,1920,Nairobi,www.oldmutual.co.ke,+254 20 2850000,info@oldmutual.co.ke,Peter Mwangi,12,2.7,A-,Very Good,Compliant,IRA/01/019
IRA019,Phoenix of East Africa Assurance,Composite,Active,1984,Nairobi,www.phoenixofea.com,+254 20 2222000,info@phoenixofea.com,John Mwangi,9,1.5,B,Good,Compliant,IRA/01/020
IRA020,Takaful Insurance of Africa Limited,Islamic,Active,2008,Nairobi,www.takafulafrica.com,+254 20 2718000,info@takafulafrica.com,Hassan Bashir,6,1.2,B+,Good,Compliant,IRA/01/021
IRA021,Trident Insurance Company Limited,General,Active,1981,Nairobi,www.trident.co.ke,+254 20 2223333,info@trident.co.ke,John Mwangi,7,1.1,B,Good,Compliant,IRA/01/022
IRA022,Xplico Insurance Company Limited,General,Active,2015,Nairobi,www.xplico.co.ke,+254 20 2717000,info@xplico.co.ke,John Mwangi,5,0.8,B-,Fair,Compliant,IRA/01/023
IRA023,Sanlam Kenya PLC,Life,Active,1965,Nairobi,www.sanlam.co.ke,+254 20 2850000,info@sanlam.co.ke,John Mwangi,10,2.3,A-,Good,Compliant,IRA/01/024
IRA024,Mayfair Insurance Company Limited,General,Active,1992,Nairobi,www.mayfair.co.ke,+254 20 2224444,info@mayfair.co.ke,John Mwangi,6,0.9,B,Good,Compliant,IRA/01/025
IRA025,Kenya Orient Insurance Limited,General,Active,1982,Nairobi,www.kenyaorient.co.ke,+254 20 2855000,info@kenyaorient.co.ke,John Mwangi,11,1.6,B+,Good,Compliant,IRA/01/026
IRA026,Directline Assurance Company Limited,General,Active,1998,Nairobi,www.directline.co.ke,+254 20 2716000,info@directline.co.ke,John Mwangi,8,1.4,B,Good,Compliant,IRA/01/027
IRA027,Intra Africa Assurance Company Limited,Composite,Active,1981,Nairobi,www.intraafrica.co.ke,+254 20 2225555,info@intraafrica.co.ke,John Mwangi,7,1.0,B,Good,Compliant,IRA/01/028
IRA028,Co-operative Insurance Company of Kenya,Composite,Active,1973,Nairobi,www.cic.co.ke,+254 20 2823000,info@cic.co.ke,Nelson Kuria,20,5.1,A-,Very Good,Compliant,IRA/01/029
